Name,User ID,Email Address,Role
"Baxter, Rian",rbaxter9,rianbaxter@gatech.edu,Teaching Assistant,
"Best, Brandon",bbest3,brandonbest13@gatech.edu,Teaching Assistant,
"Chandrasekhar, Jay",jchandrasekhar3,jchandrasekhar3@gatech.edu,Student
"Heffernan, Kevin",kheffernan3, kheffernan3@gatech.edu,Student
"Jajoo, Vivek",vjajoo3,vivekjajoo@gatech.edu,Teaching Assistant,
"Kadiresan, Chidambaram",ckadiresan3,ckadiresan@gatech.edu,Teaching Assistant,
"Kanchibhatla, Amulya",akanchibhatla3,akk@gatech.edu,Teaching Assistant,
"Ketchum, Alex",aketchum3,alexketchum@gatech.edu,Teaching Assistant,
"Lau, Katie",klau34,ktl@gatech.edu,Teaching Assistant,
"Lemme, Steve",slemme3,slemme3@gatech.edu,Student
"Pu, Wilson",wpu3,wpu3@gatech.edu,Teaching Assistant,
"Samanthula, Bhargava Prasad",bsamanthula3,bpsamanthula@gatech.edu,Teaching Assistant,
"Simpkins, Chris",cs257,simpkins@cc.gatech.edu,Instructor
"Soter, Paul",psoter3,psoter3@gatech.edu,Student
"Stolhanske, Erik",estolhanske3,estolhanske3@gatech.edu,Student
